chr	start	end	strand
chr1	4677668	4678135	-
chr1	4720528	4721308	-
chr1	4742889	4743393	-
chr1	4747283	4748111	-
chr1	4753714	4754066	-
chr1	4754959	4756215	-
chr1	4756824	4761082	-
chr1	4761365	4761906	+
chr1	4762440	4763264	-
chr1	4763365	4775788	-
chr1	4775860	4777684	+
chr1	4796392	4797910	-
chr1	4797933	4836818	+
chr1	4837261	4838639	+
chr1	4839307	4844006	+
chr1	4844523	4847264	+
chr1	4845689	4847708	-
chr1	4847759	4886854	+
chr1	4888011	4898583	+
chr1	4899095	4899653	+
chr1	4900722	4901980	+
chr1	5072844	5073255	-
chr1	5073247	5152640	+
chr1	5074193	5074631	-
chr1	5152676	5157182	+
chr1	5158665	5159097	+
chr1	6177987	6179242	-
chr1	6180043	6181701	-
chr1	6182340	6183063	-
chr1	6183678	6184862	-
chr1	6185408	6190865	-
chr1	6191808	6192264	-
chr1	6192952	6204682	-
chr1	6204747	6266208	+
chr1	6266209	6275465	+
chr1	6276142	6276596	+
chr1	6443816	6446861	+
chr1	6443846	6444448	-
chr1	6447795	6451884	+
chr1	6453346	6461038	+
chr1	6461670	6462255	+
chr1	6462902	6465679	+
chr1	6466377	6469179	+
chr1	6469756	6476456	+
chr1	6476971	6477298	+
chr1	6477389	6851015	+
chr1	6851082	6852214	+
chr1	6852844	6858080	+
chr1	7077702	7078927	-
chr1	7079042	7163708	+
chr1	7163751	7168059	+
chr1	7387121	7387442	-
chr1	8458818	9281223	-
chr1	8836305	8837909	+
chr1	9535031	9535368	-
chr1	9535485	9537515	+
chr1	9537578	9538097	+
chr1	9538198	9562341	+
chr1	9690668	9691699	+
chr1	9692397	9693589	+
chr1	9706604	9713244	-
chr1	9713245	9738506	-
chr1	9737929	9738953	+
chr1	9787194	9788177	-
chr1	9788221	9892686	+
chr1	9788962	9789438	-
chr1	9883065	9883358	-
chr1	9892687	9898676	+
chr1	9898769	9900634	+
chr1	9925829	9932104	-
chr1	9932105	9934239	-
chr1	9933784	9935138	+
chr1	9958063	9958778	+
chr1	10009089	10009619	-
chr1	10010318	10014896	-
chr1	10014897	10028260	-
chr1	10028345	10126503	+
chr1	10116481	10118061	-
chr1	10118666	10127559	-
chr1	10127495	10129469	+
chr1	10127583	10222773	-
chr1	10222774	10223233	-
chr1	10222914	10224656	+
chr1	12682610	12850448	+
chr1	12854813	12855245	-
chr1	12855356	12855553	+
chr1	13124705	13129233	-
chr1	13129234	13364214	-
chr1	13362678	13366781	+
chr1	13364215	13364662	-
chr1	13368911	13369961	+
chr1	13414228	13414737	-
chr1	13416090	13416943	-
chr1	13416414	13417476	+
chr1	13550294	13554664	-
chr1	13554764	13579941	-
chr1	13579581	13580764	+
chr1	13603691	13606566	-
chr1	13607536	13609783	-
chr1	13610550	13615970	-
chr1	13616080	13650628	-
chr1	13650695	13651458	+
chr1	14157266	14158387	-
chr1	14159006	14294766	-
chr1	15795167	15796134	-
chr1	15795708	15833510	+
chr1	15834447	15836901	+
chr1	15837844	15843454	+
chr1	15845384	15847571	+
chr1	15848270	15849432	+
chr1	15850291	15850818	+
chr1	16086186	16091362	-
chr1	16091363	16094489	-
chr1	16094533	16095854	-
chr1	16094827	16095855	+
chr1	16095944	16122657	+
chr1	16122681	16123112	+
chr1	16124366	16128235	+
chr1	16253956	16509342	-
chr1	16542053	16609384	-
chr1	16609524	16609899	+
chr1	16627196	16632819	-
chr1	16632820	16646960	-
chr1	16647014	16647208	-
chr1	16647020	16647554	+
chr1	16654990	16655239	-
chr1	16655254	16668402	+
chr1	16668403	16672765	+
chr1	16671446	16672313	-
chr1	16674737	16676587	-
chr1	16677478	16679969	-
chr1	16678493	16699707	+
chr1	16704507	16706226	+
chr1	20785023	20785608	-
chr1	20786559	20789746	-
chr1	20790538	20792802	-
chr1	20793061	20810330	-
chr1	20941041	20941558	-
chr1	20979965	20980921	-
chr1	20981586	20982647	-
chr1	20983267	20984812	-
chr1	20985524	20990993	-
chr1	20991501	21069330	-
chr1	21004807	21005321	+
chr1	21069521	21070523	+
chr1	21156544	21156910	+
chr1	21208325	21208899	-
chr1	21208705	21212738	+
chr1	21644841	21950717	-
chr1	23267742	23268713	+
chr1	23269310	23270274	+
chr1	23271052	23271626	+
chr1	23274460	23275022	+
chr1	23276548	23277188	+
chr1	23283869	23284258	+
chr1	23284873	23285943	+
chr1	23289137	23289945	+
chr1	23291215	23291883	+
chr1	23296436	23296971	+
chr1	23297400	23297972	+
chr1	23298743	23299402	+
chr1	23372512	23373205	-
chr1	23373275	23390058	-
chr1	23390334	23390918	+
chr1	23835886	23838537	-
chr1	23839033	23852454	-
chr1	23852455	23929162	-
chr1	23928669	23930150	+
chr1	24001795	24002287	-
chr1	24002921	24012495	-
chr1	24012550	24012899	+
chr1	24018459	24107192	-
chr1	24107392	24107691	+
chr1	24619556	24619995	+
chr1	24684802	24685382	-
chr1	24685492	24686633	+
chr1	24736641	24823167	+
chr1	24823210	24832293	+
chr1	24835655	24836851	+
chr1	30853614	30859181	-
chr1	30859182	30920133	-
chr1	30920134	30930998	-
chr1	30930703	30931778	+
