chrom	chromStart	chromEnd	name	score	strand
chrX	3017550	3017650	N	1	+
chrX	4129850	4129950	N	1	+
chrX	4506050	4506150	N	1	+
chrX	4714150	4714250	N	1	+
chrX	4737200	4737300	N	1	+
chrX	5009150	5009250	N	1	+
chrX	5049750	5049850	N	1	+
chrX	5053600	5053700	N	1	+
chrX	5055350	5055450	N	1	+
chrX	5060050	5060150	N	1	+
chrX	5066000	5066100	N	1	+
chrX	5066200	5066300	N	1	+
chrX	5067050	5067150	N	1	+
chrX	5157000	5157100	N	1	+
chrX	5178550	5178650	N	1	+
chrX	5219200	5219300	N	1	+
chrX	5262050	5262150	N	1	+
chrX	5389350	5389450	N	1	+
chrX	5422400	5422500	N	1	+
chrX	5429900	5430000	N	1	+
chrX	5518600	5518700	N	1	+
chrX	5526400	5526500	N	1	+
chrX	5542400	5542500	N	1	+
chrX	5562000	5562100	N	1	+
chrX	5668950	5669050	N	1	+
chrX	5752950	5753050	N	1	+
chrX	5757650	5757750	N	1	+
chrX	5815450	5815550	N	1	+
chrX	5867500	5867600	N	1	+
chrX	5977200	5977300	N	1	+
chrX	5978800	5978900	N	1	+
chrX	5980350	5980450	N	1	+
chrX	5981900	5982000	N	1	+
chrX	5984300	5984400	N	1	+
chrX	5985700	5985800	N	1	+
chrX	5986050	5986150	N	1	+
chrX	5987250	5987350	N	1	+
chrX	5989000	5989100	N	1	+
chrX	5989450	5989550	N	1	+
chrX	5990450	5990550	N	1	+
chrX	5992400	5992500	N	1	+
chrX	5992900	5993000	N	1	+
chrX	5993500	5993600	N	1	+
chrX	5996200	5996300	N	1	+
chrX	5997300	5997400	N	1	+
chrX	5998350	5998450	N	1	+
chrX	6000850	6000950	N	1	+
chrX	6001800	6001900	N	1	+
chrX	6003350	6003450	N	1	+
chrX	6003450	6003550	N	1	+
chrX	6004400	6004500	N	1	+
chrX	6005850	6005950	N	1	+
chrX	6009500	6009600	N	1	+
chrX	6009950	6010050	N	1	+
chrX	6010450	6010550	N	1	+
chrX	6013900	6014000	N	1	+
chrX	6015200	6015300	N	1	+
chrX	6015850	6015950	N	1	+
chrX	6016150	6016250	N	1	+
chrX	6016650	6016750	N	1	+
chrX	6017550	6017650	N	1	+
chrX	6017650	6017750	N	1	+
chrX	6018400	6018500	N	1	+
chrX	6019050	6019150	N	1	+
chrX	6020800	6020900	N	1	+
chrX	6021450	6021550	N	1	+
chrX	6021800	6021900	N	1	+
chrX	6022250	6022350	N	1	+
chrX	6023400	6023500	N	1	+
chrX	6024500	6024600	N	1	+
chrX	6025500	6025600	N	1	+
chrX	6027200	6027300	N	1	+
chrX	6029200	6029300	N	1	+
