chr	start	end	strand
chr1	4677668	4678135	-
chr1	4758090	4758380	-
chr1	4759744	4761082	-
chr1	4762440	4767330	-
chr1	4768100	4772346	-
chr1	4774037	4774377	-
chr1	4774876	4775788	-
chr1	4776051	4777684	+
chr1	4797059	4797910	-
chr1	4797933	4798155	+
chr1	4798203	4800073	+
chr1	4800668	4801975	+
chr1	4802509	4806195	+
chr1	4808569	4809705	+
chr1	4810679	4810922	+
chr1	4811866	4813189	+
chr1	4815601	4816069	+
chr1	4818612	4818971	+
chr1	4822290	4823972	+
chr1	4827915	4828921	+
chr1	4829880	4830927	+
chr1	4831442	4831995	+
chr1	4832821	4833303	+
chr1	4833875	4835465	+
chr1	4835983	4837988	+
chr1	4838585	4843736	+
chr1	4844747	4847264	+
chr1	4845762	4847708	-
chr1	4847759	4849905	+
chr1	4850581	4850829	+
chr1	4851665	4853094	+
chr1	4853476	4854848	+
chr1	4855423	4855888	+
chr1	4857846	4863052	+
chr1	4863577	4865541	+
chr1	4867042	4869251	+
chr1	4871637	4872117	+
chr1	4873787	4874587	+
chr1	4875689	4878753	+
chr1	4880063	4880577	+
chr1	4882083	4884857	+
chr1	4885160	4886342	+
chr1	4888011	4898583	+
chr1	4901258	4901980	+
chr1	5072844	5073201	-
chr1	5073203	5100715	+
chr1	5104600	5122537	+
chr1	5123043	5152239	+
chr1	5152261	5152640	+
chr1	5152747	5157182	+
chr1	6182530	6183063	-
chr1	6183678	6183953	-
chr1	6185077	6188188	-
chr1	6188710	6189481	-
chr1	6191935	6192264	-
chr1	6192952	6204682	-
chr1	6204240	6207048	+
chr1	6207594	6214650	+
chr1	6215761	6222570	+
chr1	6223104	6223473	+
chr1	6223971	6224769	+
chr1	6225525	6226004	+
chr1	6226499	6231376	+
chr1	6232118	6236575	+
chr1	6237107	6242848	+
chr1	6244466	6255616	+
chr1	6256210	6263525	+
chr1	6264257	6264603	+
chr1	6265211	6274869	+
chr1	6443846	6444408	-
chr1	6443879	6446486	+
chr1	6448661	6450010	+
chr1	6450606	6451802	+
chr1	6453346	6454732	+
chr1	6455334	6456588	+
chr1	6457038	6460011	+
chr1	6461728	6462255	+
chr1	6462902	6465679	+
chr1	6466657	6467734	+
chr1	6468335	6469129	+
chr1	6469756	6471016	+
chr1	6473169	6473574	+
chr1	6474081	6475327	+
chr1	6477084	6492237	+
chr1	6492915	6501796	+
chr1	6505300	6506351	+
chr1	6507089	6507379	+
chr1	6507948	6518696	+
chr1	6519235	6522257	+
chr1	6525176	6527633	+
chr1	6528713	6536571	+
chr1	6537042	6540488	+
chr1	6541907	6542540	+
chr1	6543022	6546508	+
chr1	6546999	6549809	+
chr1	6550514	6551072	+
chr1	6551942	6552736	+
chr1	6558804	6561403	+
chr1	6562164	6564436	+
chr1	6564934	6577374	+
chr1	6578727	6616658	+
chr1	6622358	6626148	+
chr1	6627586	6635999	+
chr1	6640606	6641708	+
chr1	6642282	6643848	+
chr1	6644851	6650291	+
chr1	6650807	6652116	+
chr1	6654797	6658099	+
chr1	6658558	6662484	+
chr1	6663288	6666817	+
chr1	6669111	6679547	+
chr1	6684846	6685665	+
chr1	6690704	6693187	+
chr1	6693719	6694118	+
chr1	6697922	6698369	+
chr1	6699592	6700264	+
chr1	6701379	6702817	+
chr1	6703488	6707989	+
chr1	6708444	6709093	+
chr1	6710605	6711560	+
chr1	6713683	6714240	+
chr1	6714917	6718060	+
chr1	6719398	6720539	+
chr1	6721512	6722103	+
chr1	6724351	6726515	+
chr1	6729124	6729483	+
chr1	6732318	6733995	+
chr1	6734927	6736634	+
chr1	6737336	6737632	+
chr1	6740999	6741836	+
chr1	6743389	6744296	+
chr1	6751358	6752151	+
chr1	6753820	6754619	+
chr1	6756615	6756889	+
chr1	6762607	6763317	+
chr1	6765294	6765794	+
chr1	6768662	6769470	+
chr1	6773257	6773987	+
chr1	6779961	6780685	+
chr1	6792482	6793532	+
chr1	6794583	6794825	+
chr1	6795327	6795682	+
chr1	6799477	6800228	+
chr1	6801300	6801744	+
chr1	6802863	6803814	+
chr1	6810983	6811295	+
chr1	6815747	6816526	+
chr1	6817824	6818330	+
chr1	6821146	6821608	+
chr1	6827559	6828157	+
chr1	6830486	6830794	+
chr1	6834343	6834953	+
chr1	6840287	6841470	+
chr1	6843597	6844348	+
chr1	6845164	6845528	+
chr1	6846436	6847496	+
chr1	6848189	6849909	+
chr1	6852844	6853551	+
chr1	6854037	6854895	+
chr1	6856771	6858080	+
chr1	7077702	7078539	-
chr1	7078648	7078891	-
chr1	7079042	7088576	+
chr1	7089113	7090107	+
chr1	7092360	7097223	+
chr1	7099031	7101684	+
chr1	7102750	7106874	+
chr1	7107540	7120002	+
chr1	7120715	7127489	+
chr1	7128084	7133562	+
chr1	7134346	7135519	+
chr1	7135926	7136371	+
chr1	7136882	7151628	+
chr1	7152151	7157477	+
chr1	7158071	7159076	+
chr1	7159559	7161410	+
chr1	7162259	7167777	+
chr1	8836588	8837334	+
chr1	9535485	9539071	+
chr1	9541546	9542178	+
chr1	9578852	9579462	-
chr1	9690668	9691364	+
chr1	9706604	9715790	-
chr1	9716312	9724419	-
chr1	9726602	9738506	-
chr1	9738734	9738953	+
chr1	9787194	9788177	-
chr1	9788221	9794358	+
chr1	9788962	9789438	-
chr1	9794951	9797468	+
chr1	9798711	9799336	+
chr1	9800317	9802445	+
chr1	9803023	9810504	+
chr1	9811097	9811951	+
